Title,Url,Category,Views,Activity,Replies,Content,
,,,,,,vamsi.chaitu.007,Where can i find Trident image for raspberry pi?
GoPro Fitment on Trident body?,https://forum.openrov.com/t/gopro-fitment-on-trident-body/6153,Trident,514,43146,2,GoPro Fitment on Trident body? - Trident - OpenROV Forums,
,,,,,,,
,,,,,,stevenpaulpalmer,If I want to record 4K images it appears the only solution at the moment is to mount a GoPro on Trident.Will there be unused threaded mounting holes on the body to allow a mechanical attachment of a GoPro mount or will I have to risk using one of the self adhesive mounts?Many thanks
,,,,,,oddgeir,"Hi, you can find some information here. I think this is quite close to the production model, when it comes to the under side of the ROV<br>
<aside class=""onebox whitelistedgeneric"">
  <header class=""source"">
      <img  class=""site-icon"" width=""64"" height=""64"">
      <a href=""http://blog.openrov.com/payload-interface-mechanical-trident-kickstarter-update-10/"" target=""_blank"" title=""05:59PM - 06 February 2016"" rel=""nofollow noopener"">OpenROV â€“ 6 Feb 16</a>
  </header>
  <article class=""onebox-body"">
    <div class=""aspect-image"" style=""--aspect-ratio:690/224;""><img  class=""thumbnail""></div>
<h3><a href=""http://blog.openrov.com/payload-interface-mechanical-trident-kickstarter-update-10/"" target=""_blank"" rel=""nofollow noopener"">Payload Interface: Mechanical (Trident Kickstarter Update #10)</a></h3>
<p>One of the core features of the OpenROV kit is modularity. Weâ€™ve always loved to see what payloads community members add to their devices, and wanted to provide the same flexibility for Trident user"
,,,,,,stevenpaulpalmer,"Thank you, that helps, shame there are no fixing holes topside so Trident can rest on the bottom allowing whatever is mounted topside to work."
,,,,,,Interesting review of the Trident....in french - Trident - OpenROV Forums,
,,,,,,,
,,,,,,Peter_S,"Hey guys!Here is some interesting footage and a review (it seems so at least) of the Trident. Unfortunately it is in french, so I donâ€™t understand very much, but hopefully someone can make a short summary in english <img  title="":slight_smile:"" class=""emoji"" alt="":slight_smile:"">"
,,,,,,Daniel_T,"Hello Peter !<br>
Hello Everybody !While waiting forward to get my own Trident, I wrote the french captions today, and then translate them â€¦Hope it will help !!Itâ€™s the first time I write caption for a Youtube channel â€¦ I discovered that the captions should be check before being visible ! So, if they arenâ€™t visible in few days,  I could send you the *.sbv files.Best regardsdaniel"
One laser is dim,https://forum.openrov.com/t/one-laser-is-dim/6072,OpenROV 2.5 - 2.8,588,43115,8,One laser is dim - OpenROV 2.5 - 2.8 - OpenROV Forums,
,,,,,,,
,,,,,,mikefunkpa_c,I fired up my 2.8 for the first time and within a few minutes one of the lasers went dim. Not totally our but not enough light to be seen on the wall across the room. The other is very bright. Should I just replace the dim one?
,,,,,,Jim_Scholz,I suggest that you double check your wiring connections and look for a voltage drop at the weak laser before you do a replacement.
,,,,,,mikefunkpa_c,Tanks for the suggestion. Iâ€™ll try that after I recharge the batteries.
,,,,,,mikefunkpa_c,"Visual inspection shows the blue wire is braided and all but 2 of the strands are broken at the solder joint on the laser. The other laser, and the 3rd one I have as a spare, have solid wire, not braided."
,,,,,,Jose,"<a class=""mention"" href=""/u/mikefunkpa_c"">@mikefunkpa_c</a><br>
Can you measure the voltage of the laser power supply at board level? Also, could you try to switch the cable pairs between the two lasers? This way, you can figure out if itâ€™s a problem with the laser diode or the laser power supply channel.<br>
Good luck with that, letâ€™s hope this helps!"
,,,,,,Jim_Scholz,"Mike, Sorry I hadnâ€™t replied a 2nd time. I figured you found the problem with the broken braided wire causing the problem. 2 strands is probably not heavy enough to carry the load for that laser, hence the fade out."
,,,,,,m.spencer,"I also have a dim laser problem, with one laser but not the other. Iâ€™ve measured the voltage across the laser power supply, and itâ€™s the same on both sides. The joint to the dim laser looked OK, but I resoldered it, and still have the same problem. Is there a recommended source for new lasers? And is there any better way than glue to fix them so that itâ€™s easier to remove if necessary?"
,,,,,,mikefunkpa_c,"Thanks for getting back! To be honest, Iâ€™ve been ignoring the problem. Iâ€™m not so sure the lasers will be helpful for my purposes, but if I find I need them Iâ€™ll replace the one thatâ€™s weak. I have an extra that came with the kit.<br>
Thanks, again for your help!"
,,,,,,mikefunkpa_c,I had the same concern about affixing them with superglue. A hot glue gun would be easier material to cut through to remove them. I havenâ€™t tried that but thought it might be a better idea.
Pro HD-Camera doesn’t work,https://forum.openrov.com/t/pro-hd-camera-doesnt-work/5988,OpenROV 2.5 - 2.8,715,43114,9,Pro HD-Camera doesn&#39;t work - OpenROV 2.5 - 2.8 - OpenROV Forums,
,,,,,,,
,,,,,,langyu7,"<div class=""lightbox-wrapper""><a class=""lightbox"" href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/original/2X/3/313dc97878d5d6e8979a3885bbcb87bb8914bf0c.jpg"" data-download-href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/313dc97878d5d6e8979a3885bbcb87bb8914bf0c"" title=""cockpit capture.jpg"" rel=""nofollow noopener""><img  alt=""cockpit capture"" width=""690"" height=""386""><div class=""meta"">
<span class=""filename"">cockpit capture.jpg</span><span class=""informations"">1923x1077 84.6 KB</span><span class=""expand""></span>
</div></a></div>Hi, I bought pro HD-Cam in OpenROV store.So, I tried to upgrade my cam in OpenROV 2.8vI followed assembly manual for Upgrading pro HD-camAfter Finishing that, I connected cockpit with SD card(30.1.0 <span class=""hashtag"">#169</span>) in Beaglebone black.But the result was that mentioned picture.And also I reinstalled 31 ver image burned SD card in BBB.I saw same display. I checked connection wire, chip etc about HW.I think that HW parts doesnâ€™t have any problem.I tried to solve this problem by searching in Forum. I couldnâ€™t get any solutions.Please read &amp; reply my topicThanks Regard"
,,,,,,topher,Me too. I have no camera feed with my HD camera. I am using the SD card which came with the kit and I assume a 31 image. Also the lights flash on and off quite soon after booting up.
,,,,,,holgi003,"I gave up the hope that there will be even better firmware for the OpenRov.<br>
I do not see any changes in the Github for months.<br>
The last RelaseCandidate firmware now already one year old.<br>
It is probably only developed for the Trident.<br>
All customers like me bought the HD Camera update will have to live with the unfinished firmware."
,,,,,,langyu7,"Recently, I reinstalled images in BBB &amp; SD card. I confirmed that problem solved. Display status is normal.<br>
I didnâ€™t know the cause of this problem. I guess that cause is instability of 31 ver image.<br>
I recommend using past version image(30 ver etc). In my opinion, Pro HD-camera is friendly in trident system.By trial and error, I got know-how about solving this problem. If you have this problem, you reinstall images repeatly until you donâ€™t have this error. Iâ€™m so sorry for this answer.Then I pray for Success of RoVâ€™s Operation. Thanks regards"
,,,,,,boatsd,"<a href=""https://docs.google.com/document/d/11Z2jdTLRgehW_KRjDDBIb5kdB-526KkmfgKleUeB_3Y/mobilebasic"" class=""onebox"" target=""_blank"" rel=""nofollow noopener"">https://docs.google.com/document/d/11Z2jdTLRgehW_KRjDDBIb5kdB-526KkmfgKleUeB_3Y/mobilebasic</a>Zack from Openrov sent me the above and solved the camera issue.To get the latest software running try this. Leave the sd card in while running, formatted with latest image 31.**.  You may have to format the sd card a couple times to get it right.  Also, try firing it up and unplugging it a few times before opening the browser the first time but after burning the new image.  <a href=""http://rov.openrov.net"" rel=""nofollow noopener"">rov.openrov.net</a> will be the address to pull up the cockpit.  I have not been able to get the wireless tether setup to run on image 31 but it works great once you get it going plugged directly into the ROV.  Once the cockpit loads, give it time, and keep your internet connected the first run.  Set your computer to automatically get the ip.  When everything has had time to load, go into the setting for the camera and change GOP length to 1 and your video should appear.  In the future, if you lose camera fed, change the GOP to 1.  Also, make sure your browser is in desktop mode, go full screen, then adjust down from there to get all your info on the screen.Hope this helps, I felt your pain."
,,,,,,badevguru,"Sorry for the delay guys.Just to respond to the thread, we ultimately had some cameraâ€™s floating around that had firmware that needed to be corrected.  The primary failure symptom is that the 2 our of 3 times, when starting the cockpit software, you would get a black screen.Support has been handling these cases with step by step directions to fix the issue.Generally, if you have this symptom, you can verify if the firmware needs to be corrected by sshâ€™ing in to the ROV, then as sudo run <code>mxcam bootmode</code>.  If the result is <code>snor</code>, then it needs the correction."
,,,,,,Jim_Scholz,"Can you repost this with more detailed instructions? What is [quote=â€œbadevguru, post:6, topic:5988â€]<br>
sshâ€™ing in to the ROV, then as sudo run mxcam bootmode.  If the result is snor, then it needs the correction.<br>
[/quote]I donâ€™t know is that is typos or geekspeak for something I donâ€™t understand.Thanks from all of us mechanical but not computer programmer types!"
,,,,,,boatsd,Start at step 5 in the link I posted above is what he is saying.
,,,,,,Jim_Scholz,THANKS!  Makes sense now.
,,,,,,topher,"Hi, Iâ€™d like to say that my issue is resolved and I have fine video now. The problem I now see was that I had not gone through updating the software. The guide is <a href=""https://openrov.dozuki.com/Guide/Guide+2+-+Software/184?lang=en"" rel=""nofollow noopener"">here</a> and if like me you are not updating the normal camera, but building your ROV from the Pro bundle, it is not immediately obvious you need to do this.Anyway I did it and it all works. Great!"
Ability to add additional sensors to Trident,https://forum.openrov.com/t/ability-to-add-additional-sensors-to-trident/6087,Trident,572,43111,1,Ability to add additional sensors to Trident - Trident - OpenROV Forums,
,,,,,,,
,,,,,,dknippel,"Hi, I was curious if the new Trident will have the ability to add additional sensors.  If so, can said sensors be external to the watertight hull of the vessel?  For example, say Iâ€™m interested in attaching a salinity probe.  Assuming said probe is lightweight and small enough to not cause obstruction of the Tridentâ€™s basic maneuverabilityâ€¦how do I penetrate the sensor wire through the hull and connect to Tridentâ€™s main â€œinput boardâ€?  I can see where an engineer could think of a way to do this, but I was curious if Trident will have any â€œpreemptiveâ€ penetration and corresponding â€œgasketâ€ to accommodate any 3rd party add-ons?  Thanks <img  title="":slight_smile:"" class=""emoji"" alt="":slight_smile:"">"
,,,,,,Peter_S,"Here you can read more about how they are planning to solve that <img  title="":slight_smile:"" class=""emoji"" alt="":slight_smile:"">Hi Brian!  Thank you for your reply! Yes, I know that you guys are busy with the Trident, and I am 100% confident that you are doing a great job with it <img  title="":slight_smile:"" class=""emoji"" alt="":slight_smile:"">  I totally missed that forum post with your intern, but it looks really good!  It sounds great that you have many ideas for other products, but that you are focusing on getting the Trident ready. Because I think that most people like me that has ordered it, would be willing to give their left hands in order to get it right now :smâ€¦"
Depth motor is not working,https://forum.openrov.com/t/depth-motor-is-not-working/6073,OpenROV 2.5 - 2.8,351,43108,3,Depth motor is not working - OpenROV 2.5 - 2.8 - OpenROV Forums,
,,,,,,,
,,,,,,mikefunkpa_c,I fired up my 2.8 for the first time and the thrust motors work perfectly but the depth motor does not function at all. When I tested the starboard motor the depth motor turned for just a split second but has had no response since.
,,,,,,Jim_Scholz,"Check for a crossed, or shorted wire. The first place I would check is 25 pin cable connection on the cable itself, or the board end of the connection. Another possibility is the pins on the back of the board where the connector mounts."
,,,,,,mikefunkpa_c,"Thank you for the suggestion. I checked the 25 pin connector and found 2 of the pins depressed. I puled them out to the same height as the other pins, then reconnected to ROV and voila!!! The motor works perfectly!"
,,,,,,mikefunkpa_c,"After further inspection it appears epoxy leaked into the pin hole on a couple of the female side. Iâ€™m attempting to clean them out,"
Help Plz! Finished 2.7 controls not working,https://forum.openrov.com/t/help-plz-finished-2-7-controls-not-working/6036,OpenROV 2.5 - 2.8,217,Dec '17,0,Help Plz! Finished 2.7 controls not working - OpenROV 2.5 - 2.8 - OpenROV Forums,
,,,,,,,
,,,,,,ohrstrom,"I finished 2.7 build and can connect to Cockpit.  i can see video but canâ€™t turn on laser, servo, lights,  motors etc.  I updated firmware to latest but no change. any help would be appreciated."
Trident exercise will not swing around?,https://forum.openrov.com/t/trident-exercise-will-not-swing-around/6012,Trident,548,Dec '17,4,Trident exercise will not swing around? - Trident - OpenROV Forums,
,,,,,,,
,,,,,,95345256,"It does not like a fish like a dorsal fin, when the level of progress around the poor control, in theory, will be unbalanced, do not know when you test there is no such problem?"
,,,,,,andreas_lindberg,What does this mean?
,,,,,,95345256,That is when exercise can maintain balance?Such as linear motion
,,,,,,Tom3,I still canâ€™t figure out what your question or statement is about.
,,,,,,95345256,"I mean, i am somehow curious about the balance when trident is moving, like when i am controlling trident in the deep sea, how will trident perform, will it keep perfect balance?"
USB lead does not connect to the topside box,https://forum.openrov.com/t/usb-lead-does-not-connect-to-the-topside-box/6029,OpenROV 2.5 - 2.8,216,Dec '17,0,USB lead does not connect to the topside box - OpenROV 2.5 - 2.8 - OpenROV Forums,
,,,,,,,
,,,,,,topher,"Hi all, The topside connection box has a sort of mini USB socket which is narrower on the bottom edge than the top. The USB lead supplied has a rectangular white plastic plug with 5 channels, 4 of which have a wire connected. The plug definitely does not fit the socket so I am stuck. It seems a very simple problem! Do I have the wrong USB lead? The topside box looks like the photos in the guide but I canâ€™t find a photo of the white plug."
When is this going to be released?,https://forum.openrov.com/t/when-is-this-going-to-be-released/6025,Trident,445,Dec '17,1,When is this going to be released? - Trident - OpenROV Forums,
,,,,,,,
,,,,,,khudson,I ordered this through Kickstart in 2015. When will this be released?
,,,,,,lorah,"Great question! Weâ€™ve got the first Tridents out in the field and are working on getting the rest out ASAP! We are shipping in chronological order so for more detailed information on when you can expect your own Trident, please email support at <a href=""mailto:support@openrov.com"">support@openrov.com</a>.To give you an idea of some of the challenges weâ€™ve been overcoming, check out this blog post by Eric:<br>
<aside class=""onebox whitelistedgeneric"">
  <header class=""source"">
      <img  class=""site-icon"" width=""64"" height=""64"">
      <a href=""http://blog.openrov.com/first-beta-units-in-the-field-trident-kickstarter-update-26/"" target=""_blank"" title=""07:19PM - 30 October 2017"" rel=""nofollow noopener"">OpenROV â€“ 30 Oct 17</a>
  </header>
  <article class=""onebox-body"">
    <div class=""aspect-image"" style=""--aspect-ratio:690/295;""><img  class=""thumbnail""></div>
<h3><a href=""http://blog.openrov.com/first-beta-units-in-the-field-trident-kickstarter-update-26/"" target=""_blank"" rel=""nofollow noopener"">First Beta Units in the Field (Trident Kickstarter Update #26)</a></h3>
<p>Weâ€™ve completed production of the first beta units, which all look great. Weâ€™ve been getting some amazing footage back from the first units in the field."
Help desperately needed - a bad day!,https://forum.openrov.com/t/help-desperately-needed-a-bad-day/6003,OpenROV 2.5 - 2.8,575,Dec '17,11,Help desperately needed - a bad day! - OpenROV 2.5 - 2.8 - OpenROV Forums,
,,,,,,,
,,,,,,kent,"Hope someone can help.  Have had a very frustrating day with all sorts of problems happening with the 2.8.First problem was the controls doing all sorts of stuff - have a custom control preset saved, but today for some reason some of the controls reversed - left on the stick turned the ROV right instead of left and vice versa, forward and backwards reversed themselves etc.  Took a while to get the hang of it - and then suddenly everything returned to normal.  Except all day the camera has refused to tilt up or down using either the controller or the keyboard.  Does anyone have any ideas about what is going on that is causing these issues?Just when I thought my day couldnâ€™t get any more frustrating it suddenly got a whole lot worse - the infamous Google â€œAw Snap! something went wrong while displaying this webpageâ€ suddenly appeared.  Tried restarts of the ROV, restarts of the laptop, and just about every other trick in the book but no luck - everything would start as normal, we would get the cockpit up, get video picture up - and then after 30 seconds or so the infamous Aw Snap! white screen of death would appear.  <strong>HELP!!</strong>Any and all help would be appreciated as driving 1.5 hours to the site then having this happen isnâ€™t a lot of fun:unamused:"
,,,,,,jeremyd,Did u already try reflashing the sdcard? Iâ€™ve found that my 2.8 can also degrade over time and have weird issues similar to yours but when I reflash itâ€™s fine again for 10-20 dives.
,,,,,,kent,I am hoping to do that first thing tomorrow morning and see if that fixes it - if you have had similar problems and that has fixed it then hopefully it might fix it for us.  Doing it every 10-20 dives is going to be a pain though as we have built ours into a custom chassis and getting the main tube out isnâ€™t quick and simple
,,,,,,kent,"If anyone can provide really detailed simple step by minute step instructions on how to reflash the sdcard and reload the software that would be appreciated.  As my colleagues can attest - I can do all sorts of stuff underwater, but when it comes to computers and electronics I am totally clueless - which is why I didnâ€™t assemble the kit."
,,,,,,jeremyd,"<a href=""https://openrov.dozuki.com/Guide/Update+Software+Image+From+SD+Card/90"" rel=""nofollow noopener"">https://openrov.dozuki.com/Guide/Update+Software+Image+From+SD+Card/90</a> will walk you through it, however itâ€™s not necessary to completely remove the beagle bone, on mine I just pull out the internal chassis, insert the sdcard, stick the chassis back in the rov and plug the base station into usb power. It will flash for 15 min and then you can power it off and remove the sdcard.  Do another quick test before sealing it up and you are good to go."
,,,,,,jeremyd,"One more option, Iâ€™ve been flying with the new release and it seems a little more stable.  However Iâ€™m not able to record video like I used to I experience less lockups â€¦ depending on your use case it might be worth trying.  <a href=""https://forum.openrov.com/t/new-release-candidate-image-ready-with-31-0-0-rc/4992"">New Release Candidate Image ready with 31.0.0 RC</a> this image is different in that it runs directly off the sdcard (so you leave the sdcard in the rov while operating). Takes a while to boot up but does seem more stable and easier to control."
,,,,,,kent,"Many thanks Jeremy.  Reliability is the critical thing for us, we do underwater inspection work for a business, and we took on a new type of inspection work that requires a small overall size and light weight and the OpenROV in an us-built custom chassis seemed like the best option but the reliability has been killing us and costing us clients.  Will this version work with the Pro camera?"
,,,,,,jeremyd,"It should work with the pro camera yes, itâ€™s mainly built for that I believe to support trident and 2.8.  Iâ€™ve only done a couple of dives with it but so far so good.  Things that used to cause me problems like camera panning now works great."
,,,,,,jeremyd,"Thatâ€™s very cool you are using it for commercial inspections, this sounds like a dream job <img  title="":slight_smile:"" class=""emoji"" alt="":slight_smile:""> I too have focused a lot on reliability since I like traveling with the rov and I hate getting skunked on recording great footage due to minor field issues and have gotten pretty good at stabilization of the platform.  Where are you located? Iâ€™m in San Francisco, lmk if I can help further, you can also email me jeremy AT <a href=""http://openrov.tv"" rel=""nofollow noopener"">openrov.tv</a>"
,,,,,,kent,OK many thanks - will give it a go and hopefully we can achieve some reliability.
,,,,,,kent,"Melbourne, Australia.  You would think that it is a dream job, but it comes with a lot of pains as well - demanding clients, equipment problems at the wrong time and place, trying to pilot with precision to get the images but not stir up the silt to wreck the images, lack of engineering drawings mean that you are often going into something without knowing the layout/where any other structure is that you can wrap the tether around without knowing it, low visibility makes it a real challenge"
,,,,,,jeremyd,I agree itâ€™s very difficult!!  Thatâ€™s awesome though in retrospect because thatâ€™s what takes skill with this class of rov is both piloting and architecture/maintenance/troubleshooting work. In return the rovs are much cheaper but may require more skill than the traditional commercial rovs?
Trident delivery,https://forum.openrov.com/t/trident-delivery/5991,Trident,465,Dec '17,0,Trident delivery - Trident - OpenROV Forums,
,,,,,,,
,,,,,,marcolinger,"On your special offer you write Â«new orders for Trident are estimated to ship Spring 2018 Â».<br>
You are kidding ???  And Tridents subscribed 2 years ago ?<br>
I would really appreciate to receive more optent an update and with a realistic timeframe."
Ability to fly grid pattern,https://forum.openrov.com/t/ability-to-fly-grid-pattern/4753,Trident,1.6k,Nov '17,6,Ability to fly grid pattern - Trident - OpenROV Forums,
,,,,,,,
,,,,,,mil26halo,Hey everyone. Wondering if the trident will be able to fly a grid pattern using pre programmed waypoints for mapping purposes like aerial drones can do. This would be a very handy application. Thanks for replies!Chris.
,,,,,,tgfeminella,"Almost all drones rely heavily on GPS for waypoint navigation. Unfortunately, you canâ€™t receive GPS signals underwater, so GPS location could only be determined at the surface aboard the buoy that Trident tows. This would give you a (large) ballpark location of the ROV, but not nearly enough accuracy for autonomous navigation. If the ROVâ€™s direction and distance from the buoy could be determined with sensors, then the ROVâ€™s coordinates could be calculated, but I donâ€™t know how/if that could be done; maybe someone else has a good idea."
,,,,,,Scott_W,"but I donâ€™t know how/if that could be done; maybe someone else has a good idea.Have a look at some of the active work <a class=""mention"" href=""/u/jim_trezzo"">@Jim_Trezzo</a> and others have been doing in relation to underwater localization system"
,,,,,,i.mckernan,"Have been giving this one some thought as i am hoping to use my Trident for shallow water survey when we get it.  The areas we get our students to work in for teaching exercises are usually shallow, near shore and from 2 - 8m deep.First thing iâ€™ll try is shortening off the tether length (bundling it up, NOT cutting it short) and trying to do a survey pattern with the Trident 1-1.5m below the surface (if its depth keeping is good enough).Iâ€™m hoping that with a downward facing GoPro / lasers as an external payload, that will mean that the GPS in the WiFi buoy will give me a useful (in my context) level of position accuracy out of the box.  If it works, then i would get a short, 2m or so, tether made up and try that.I have thought about a pole / frame, with a GPS antenna rigged as an external payload above and behind the Trident?  Fly the Trident at a constant depth so that the antenna is just out of the water and a constant distance and orientation relative to the Trident?  Will try the short tether first though as is simpler and should have less drag / weight distribution issues to deal withâ€¦i think?Deeper water and most research applications would mean acoustic positioning gear though.Much to play with and try out with this beast. <img  title="":slight_smile:"" class=""emoji"" alt="":slight_smile:"">"
,,,,,,HR1,"It wonâ€™t be able to do a decent (accurate) grid out of the box, but use of the buoy to refresh an IMU would make it capable of very accurate grids.Another option would be a downward looking camera and assuming the bottom could be resolved, it could use an image correlation system to determine itâ€™s position with respect to the bottom."
,,,,,,Scott_W,"Hi Ian <a class=""mention"" href=""/u/i.mckernan"">@i.mckernan</a>Reading between the lines it sounds like you are doing some <a href=""https://forum.openrov.com/t/structure-from-motion-for-documenting-for-citizen-community-science-and-marine-archaeology/2554"">Structure from Motion mapping</a> of shallow water sitesBig picture the SfM software is pretty good and you donâ€™t need the GPS location of the camera as a first off location for the software to work out the camera pose as software can work it out by pure computer grunt power (albeit a fair amount of time). Additionally as long as you get a good amount of over coverage of the area the lines donâ€™t have to be straight and you will still get an output.Given what you are suggesting with the shortened tether (a great idea) you should also be able to upload the track file and then imply a image location (if you can time sync the two sets of data somehow) which (I canâ€™t remember the correct <a href=""http://www.agisoft.com/"" rel=""nofollow noopener"">Agisoft</a> terminology) should allow for an â€œadjacent pair selection type camera locationâ€ to be used to shorten the processing timeAbove and beyond this if you can drop a say 3 or 4 known ground control points (say different coloured weighted objects at known locations) you should be able to add this into the SfM model (not sure of the accuracy you are chasing but the assumption is that you are only after OK accuracy but not too tight as the GPS would only be Â±2.5m with a 95% confidence unless you go survey grade units) to geo-reference the model.In the future a plug in to interface the Tridents WiFi to the <a href=""https://github.com/KonradIT/goprowifihack"" rel=""nofollow noopener"">GoPro WiFi</a> and then trigger the frames and record the location (or add it into the image data file via <a href=""https://en.wikipedia.org/wiki/Exif"" rel=""nofollow noopener"">Exif</a>) would be nice<a class=""mention"" href=""/u/hr1"">@HR1</a>In relationAnother option would be a downward looking camera and assuming the bottom could be resolved, it could use an image correlation system to determine itâ€™s position with respect to the bottom.The Laser realtime Distance Measurement plugin  that <a class=""mention"" href=""/u/joakim_karlsson"">@Joakim_Karlsson</a> had working a while back would pretty much do this without significant modification (hence GPS (sort of X and Y location and Z being set off the bottom via the laser distance plug in)Scott"
,,,,,,pforperry,"I am also interested in semi-autonomous control, line surveys and structure from motion using Trident.I sigh when I see the cost of underwater navigation systems and locators like the Water Linked Underwater GPS system stocked by Blue Robotics (<a href=""https://www.bluerobotics.com/store/electronics/underwater-gps/aps-wl-11001/"" rel=""nofollow noopener"">https://www.bluerobotics.com/store/electronics/underwater-gps/aps-wl-11001/</a>).   If another 19 community members want to buy a share in such a system then please let me know hahaha.   No seriously, LET ME KNOW!The external payload modules I plan to build will incorporate provisions for vertical and oblique GoPro cameras and additional Lumen Subsea lighting from Blue Robotics (<a href=""https://www.bluerobotics.com/product-category/electronics/lights/"" rel=""nofollow noopener"">https://www.bluerobotics.com/product-category/electronics/lights/</a>) to help collect imagery for use in building structure from motion models.   The limitation I see in this case is the bandwidth intensive requirement for real time and/or near real time processing of imagery to provide control of Trident in response to position fixes if the need arises.I have many hurriedly written notes, sketches and ramblings from the past about semi-autonomous systems incorporating tethers to solar powered (or other creative energy type) surface vessels that allow Trident, with a little AI and remote guidance from interested individuals anywhere in the world, to work its way around the nearshore fringe looking for cool things to find, identify, document and share with the world."
Trident Questions,https://forum.openrov.com/t/trident-questions/5338,Trident,1.8k,Nov '17,10,Trident Questions - Trident - OpenROV Forums,
,,,,,,,
,,,,,,onerealtyfl,"I am very excited for the Trident ROV that you are about to release, and I am going to be ordering one this week <img  title="":slight_smile:"" class=""emoji"" alt="":slight_smile:""> I do, however, want to ask a few questions that this community may be able to help me with.  My dive buddies and I wish to use the ROV to assist us in exploring areas offshore the South Florida area.  We are avid technical divers trained by the Global Underwater Explorers and believe it or not, very little true exploration is currently done in the areas that we frequent.  Most divers, technical divers included, dive the same thing time after time and do not engage in real exploration in the ocean.  We are bored with the same old dive sites and wish to shift our efforts into actual exploration.  We have a boat with 3d sonar that we will use to scout for interesting bottom features, once we identify spots of interest we wish to deploy your ROV to see it before we dive it to see if itâ€™s worth diving.  This will allow us to cover way more ground than simply diving it outright.  As an example, if we dive a 200 foot dive our bottom time would be limited to about 20 minutes, with upwards of 60 minutes of decompression to follow.  Not only is this time consuming, but it also costs close to $200 per diver to do this type of exploration in the 200 foot range.  Needless to say, we are excited for the ROV <img  title="":slight_smile:"" class=""emoji"" alt="":slight_smile:"">  My questions are as follows:Do you have a tether that is neutrally buoyant in salt water or if not, how does the ROV with the tether handle in salt water?What is the best controller to use to control the ROV and what software would you run to do so?  I assume a laptop is best to interface it with, but what are your suggestions?  I have an iPad as well as a MacBook Pro and we are looking for the most precise control possible of the ROV.Have you had a chance to test this in a high current area?  I see videos where the ROV does great in near static current conditions, but we will be deploying it in areas that sometime have rather swift currents.Looking forward to your responses and to receiving the ROV of course <img  title="":slight_smile:"" class=""emoji"" alt="":slight_smile:"">Thanks!Matt Cain"
,,,,,,onerealtyfl,I have another question!  I understand that the ROV has the capability of recording on a laptop.  Is there any way that while recording this you can also get GPS coordinates?
,,,,,,TCIII,"<a class=""mention"" href=""/u/onerealtyfl"">@onerealtyfl</a>,<br>
How do you plan to get GPS signals unless the GPS is on the surface?<br>
Regards,<br>
TCIII AVD"
,,,,,,Brendan,
,,,,,,Brian_Grau,"This is a use case that we are excited to see people use the vehicle for, exploring new places that have never before been seen by humans!In answer to your questions.The tether for the vehicle is neutrally buoyant in fresh water, so it will be slightly buoyant in salt water. This will have minimal effect on vehicle performance. If you look at the second half of this <a href=""https://www.youtube.com/watch?v=bChRmaWJ8EU&amp;t=18s"">video</a> it shows the third person view of the vehicle in the water and you can see how the tether handles. This was filmed in Hawaii in salt water.The control device is kind of up to the users personal preference. As <a class=""mention"" href=""/u/brendan"">@Brendan</a> mentioned a screen that works will in daylight is definitely a plus. Tablets normally have brighter screens than laptops, but we use both here at the lab. As we get more of these in the field and run user testing we will be able to give some better recommendations.We have tested in a few high current situations. Since the vehicle is very hydrodynamic it handles going into the current well. Shooting video where you can see the performance is a little more challenging. The San Francisco area of the Pacific Ocean is where we test, but visibility is not great so shooting third person is hard. As a diver myself my opinion is that it would be able to handle any current that I as a diver would be comfortable getting into.The video recording is onto whatever the control device is (laptop, tablet, phone, etc.). We are looking at tapping into the GPS information on phones and tablets to embed this GPS information into the video. More on this to come closer to the release date.Let us know if you have additional questions, and I canâ€™t wait to see what you explore with the vehicle!"
,,,,,,onerealtyfl,"Thanks for the reply Brian!  One note on the GPS feature that I, and many others Iâ€™m sure, would love to see.  If you put a GPS on the float itself that would at least get you in the ballpark of where you need to be to find the same location again in the future. Is it perfect, no, but itâ€™s better than nothing, especially if it recorded the video with the gps coordinates of the float always available, along with the depth info of course.  I have spoken to other engineers about more accurate ways to determine GPS coordinates of the ROV itself.  The best answer Iâ€™ve head so far is you would have to develop a tether that is retractable and as it is let out, it keeps a slight tension on the line to keep it almost straight, it would also have to be able to measure how much line is out and somehow figure out the angle, with all that info you should be able to get the coordinates of the ROV on the bottom.  Easier said than done, but hey just throwing that out there!"
,,,,,,hunigraphics,"For myself personally, Im going to be able to track my ROV with my sounder. Im going to be trialing Lowrance spot light scan as another way apart from the 3D scan, Side Scan &amp; 3D structure scan. Once you locate your Trident you can place a Waypoint that will give a accurate GPS location. Cant wait to try it all out <img  title="":slight_smile:"" class=""emoji"" alt="":slight_smile:"">"
,,,,,,Jim_Scholz,Will there be any external wiring available on Trident for an external servo. lighting or other payload options?
