Title,Url,Category,Views,Activity,Replies
Looking to get started looking for rov,https://forum.openrov.com/t/looking-to-get-started-looking-for-rov/4174,Open Talk,493,Apr '16,0
Problem building the OpenROV image using Virtualbox and Vagrant,https://forum.openrov.com/t/problem-building-the-openrov-image-using-virtualbox-and-vagrant/600,Software,958,Apr '16,4
USB Infra red camera,https://forum.openrov.com/t/usb-infra-red-camera/4151,Electronics,1.2k,Apr '16,3
Unbalanced motor speed,https://forum.openrov.com/t/unbalanced-motor-speed/4155,Software,926,Apr '16,3
[SOLVED] OpenROV IMU/Compass/Depth Module: populated PCB only,https://forum.openrov.com/t/solved-openrov-imu-compass-depth-module-populated-pcb-only/4121,Add-on Components,1.0k,Apr '16,2
Hello from north east of Scotland,https://forum.openrov.com/t/hello-from-north-east-of-scotland/4129,Gallery,1.7k,Apr '16,4
Adding a stepper motor controlled gripper,https://forum.openrov.com/t/adding-a-stepper-motor-controlled-gripper/4142,Software,818,Mar '16,0
Close loop control of motors,https://forum.openrov.com/t/close-loop-control-of-motors/4118,Software,1.4k,Mar '16,6
ROV control via gamepad,https://forum.openrov.com/t/rov-control-via-gamepad/4105,Open Talk,2.0k,Mar '16,5
iPad control ? v2.0,https://forum.openrov.com/t/ipad-control-v2-0/1359,Software,2.3k,Mar '16,12
Nice to meet you,https://forum.openrov.com/t/nice-to-meet-you/4023,Open Talk,2.0k,Mar '16,8
Help with IMU Problems,https://forum.openrov.com/t/help-with-imu-problems/4117,Electronics,765,Mar '16,0
How to get depth perseption by using two cameras,https://forum.openrov.com/t/how-to-get-depth-perseption-by-using-two-cameras/4107,Electronics,1.3k,Mar '16,3
OpenRov Modeling,https://forum.openrov.com/t/openrov-modeling/4084,Open Talk,1.7k,Mar '16,6
Add a Downward looking camera w PIP on topside!,https://forum.openrov.com/t/add-a-downward-looking-camera-w-pip-on-topside/3258,Software,1.4k,Mar '16,5
"Losing Propellers, Finding Replacements",https://forum.openrov.com/t/losing-propellers-finding-replacements/4097,Open Talk,1.0k,Mar '16,2
30.0.3 software release notes,https://forum.openrov.com/t/30-0-3-software-release-notes/3463,Software,8.9k,Mar '16,21
We glued syringe in backwards. Now what?,https://forum.openrov.com/t/we-glued-syringe-in-backwards-now-what/4051,Hardware,1.8k,Mar '16,5
Ahoy from the Gulf Coast - introductions,https://forum.openrov.com/t/ahoy-from-the-gulf-coast-introductions/4067,Open Talk,742,Mar '16,1
Hello World from Toronto - Canada,https://forum.openrov.com/t/hello-world-from-toronto-canada/4045,Open Talk,642,Mar '16,0
About tenda p202 and pa202 homeplug,https://forum.openrov.com/t/about-tenda-p202-and-pa202-homeplug/4017,Electronics,1.8k,Mar '16,1
[SOLVED] Beaglebone boneheaded and backwards,https://forum.openrov.com/t/solved-beaglebone-boneheaded-and-backwards/3877,Electronics,1.6k,Mar '16,8
Battery Tubes for Deep ROVs,https://forum.openrov.com/t/battery-tubes-for-deep-rovs/4013,Hardware,2.5k,Mar '16,7
3D printed and optimized inner structure (v2.6),https://forum.openrov.com/t/3d-printed-and-optimized-inner-structure-v2-6/2135,Open Talk,1.7k,Mar '16,4
OpenRov #2878 in China,https://forum.openrov.com/t/openrov-2878-in-china/3844,Open Talk,1.8k,Mar '16,4
How do you find the BNO055 based IMU,https://forum.openrov.com/t/how-do-you-find-the-bno055-based-imu/4006,Add-on Components,2.7k,Mar '16,9
The BorgCube ROV build,https://forum.openrov.com/t/the-borgcube-rov-build/3829,Project and Build Discussion,3.2k,Mar '16,13
First Underwater ROV Project,https://forum.openrov.com/t/first-underwater-rov-project/3940,Open Talk,3.6k,Mar '16,16
Electronics for external lights,https://forum.openrov.com/t/electronics-for-external-lights/3942,Electronics,2.4k,Mar '16,9
Waterproofing Go-Pro,https://forum.openrov.com/t/waterproofing-go-pro/4010,Hardware,987,Mar '16,1
Open source Sensors,https://forum.openrov.com/t/open-source-sensors/3763,Open Talk,1.6k,Mar '16,5
Proposal of collaboration - fire department,https://forum.openrov.com/t/proposal-of-collaboration-fire-department/4008,Open Talk,878,Mar '16,0
OpenRov IMU/Compass/Depth module using Arduino,https://forum.openrov.com/t/openrov-imu-compass-depth-module-using-arduino/3963,Software,2.8k,Mar '16,7
Suggestions on waterproofing motor,https://forum.openrov.com/t/suggestions-on-waterproofing-motor/4001,Hardware,1.3k,Mar '16,2
ROV Software Suite 30.0.3,https://forum.openrov.com/t/rov-software-suite-30-0-3/2184,Software,4.4k,Mar '16,20
Add extra pair of lasers,https://forum.openrov.com/t/add-extra-pair-of-lasers/3996,Add-on Components,1.2k,Mar '16,2
"Wanting to get started with ROV’s, advice requested",https://forum.openrov.com/t/wanting-to-get-started-with-rovs-advice-requested/3995,Open Talk,1.2k,Mar '16,4
"Cockpit themes, better looking",https://forum.openrov.com/t/cockpit-themes-better-looking/3900,Software,1.2k,Mar '16,4
Does anyone use Forth?,https://forum.openrov.com/t/does-anyone-use-forth/3948,Open Talk,837,Mar '16,2
[help]how to compile ROV source code?,https://forum.openrov.com/t/help-how-to-compile-rov-source-code/2681,Software,5.1k,Feb '16,28
How to debug the cockpit code on my laptop?,https://forum.openrov.com/t/how-to-debug-the-cockpit-code-on-my-laptop/3717,Software,1.1k,Feb '16,1
Joystick Control (HOTAS) and HUD/OSD,https://forum.openrov.com/t/joystick-control-hotas-and-hud-osd/162,Software,3.6k,Feb '16,9
Issue with latest openrov-cockpit git,https://forum.openrov.com/t/issue-with-latest-openrov-cockpit-git/3622,Software,1.1k,Feb '16,0
"Immediate Need: Investigation in Boston, MA - Underwater Recovery Effort",https://forum.openrov.com/t/immediate-need-investigation-in-boston-ma-underwater-recovery-effort/3987,Open Talk,1.8k,Feb '16,6
BEMT propeller design software,https://forum.openrov.com/t/bemt-propeller-design-software/603,Open Talk,7.1k,Feb '16,44
Has anyone used Acetone instead of acrylic glue?,https://forum.openrov.com/t/has-anyone-used-acetone-instead-of-acrylic-glue/3895,Open Talk,8.7k,Feb '16,7
Open Rov with Beaglebone and Multiwii AIO Flight Controller (ATmega 2560) V2.0,https://forum.openrov.com/t/open-rov-with-beaglebone-and-multiwii-aio-flight-controller-atmega-2560-v2-0/3565,Open Talk,1.9k,Feb '16,6
"Keyboard, game pad, joy stick -and the winner is?",https://forum.openrov.com/t/keyboard-game-pad-joy-stick-and-the-winner-is/3923,Electronics,984,Feb '16,1
[SOLVED] Camera wire jumper,https://forum.openrov.com/t/solved-camera-wire-jumper/3962,Electronics,879,Feb '16,3
IMU/ Depth Sensor Implementation,https://forum.openrov.com/t/imu-depth-sensor-implementation/3967,Software,974,Feb '16,1
[SOLVED] Question about proportional control,https://forum.openrov.com/t/solved-question-about-proportional-control/3964,Software,780,Feb '16,2
Tether modification,https://forum.openrov.com/t/tether-modification/3793,Hardware,4.4k,Feb '16,22
More Servos on the ROV,https://forum.openrov.com/t/more-servos-on-the-rov/3932,Electronics,1.1k,Feb '16,4
Obstacle Avoiding OpenROV using an IMU and Laser-based Vision System (LVS),https://forum.openrov.com/t/obstacle-avoiding-openrov-using-an-imu-and-laser-based-vision-system-lvs/3618,Software,3.1k,Feb '16,10
Modification Shell,https://forum.openrov.com/t/modification-shell/3850,Open Talk,3.0k,Feb '16,9
Glare from internal lights,https://forum.openrov.com/t/glare-from-internal-lights/3389,Open Talk,3.2k,Feb '16,16
Using OpenRov with an ABB IRB140 robotic arm,https://forum.openrov.com/t/using-openrov-with-an-abb-irb140-robotic-arm/3916,Software,737,Feb '16,0
[THEME] Simple theme,https://forum.openrov.com/t/theme-simple-theme/1290,Open ROV Cockpit-Plugins,6.1k,Feb '16,32
Two for Two. Replaced Beagleboard with new and then stops working,https://forum.openrov.com/t/two-for-two-replaced-beagleboard-with-new-and-then-stops-working/3847,Electronics,1.5k,Feb '16,6
Float to print for tether cable,https://forum.openrov.com/t/float-to-print-for-tether-cable/3429,Project and Build Discussion,1.5k,Feb '16,4
"Trying to hack ROV pilot controls, NOT WORKING",https://forum.openrov.com/t/trying-to-hack-rov-pilot-controls-not-working/3879,Software,797,Feb '16,0
New Aluminum Body Pic,https://forum.openrov.com/t/new-aluminum-body-pic/3837,Project and Build Discussion,2.2k,Feb '16,8
Video streaming using Beaglebone,https://forum.openrov.com/t/video-streaming-using-beaglebone/3859,Software,1.0k,Feb '16,3
A reel way to manage your tether!,https://forum.openrov.com/t/a-reel-way-to-manage-your-tether/1115,Hardware,4.5k,Feb '16,13
How does the board manage reverse direction?,https://forum.openrov.com/t/how-does-the-board-manage-reverse-direction/3858,Electronics,808,Feb '16,1
[SOLVED] Cannot connect to my openrov,https://forum.openrov.com/t/solved-cannot-connect-to-my-openrov/3854,Open Talk,1.1k,Jan '16,3
[PLUGIN][WIP] Oculus-Rift,https://forum.openrov.com/t/plugin-wip-oculus-rift/1231,Open ROV Cockpit-Plugins,4.3k,Jan '16,19
New Age Illuminable Tether,https://forum.openrov.com/t/new-age-illuminable-tether/3840,Open Talk,620,Jan '16,0
Propeller Design,https://forum.openrov.com/t/propeller-design/1200,Open Talk,6.0k,Jan '16,10
One of the Motors slow start,https://forum.openrov.com/t/one-of-the-motors-slow-start/3806,Open Talk,811,Jan '16,3
[SOLVED] I couldn’t find the CAD file,https://forum.openrov.com/t/solved-i-couldnt-find-the-cad-file/3819,Open Talk,911,Jan '16,2
[SOLVED] What should I do if i assembled one acrylic piece in a wrong direction,https://forum.openrov.com/t/solved-what-should-i-do-if-i-assembled-one-acrylic-piece-in-a-wrong-direction/3817,Open Talk,809,Jan '16,4
OpenROV IMU/Compass/Depth Module‏,https://forum.openrov.com/t/openrov-imu-compass-depth-module/3825,Electronics,851,Jan '16,0
Laser question about alignment,https://forum.openrov.com/t/laser-question-about-alignment/3816,Open Talk,1.1k,Jan '16,2
Short range wire based energy supply,https://forum.openrov.com/t/short-range-wire-based-energy-supply/3665,Electronics,1.3k,Jan '16,3
Cleaning out uncured Epoxy,https://forum.openrov.com/t/cleaning-out-uncured-epoxy/2323,Open Talk,909,Jan '16,5
How to control the ROV with a 2.4Ghz radio controller or Gamepad wirelessly?,https://forum.openrov.com/t/how-to-control-the-rov-with-a-2-4ghz-radio-controller-or-gamepad-wirelessly/944,Open Talk,1.9k,Jan '16,10
Additional sensors to the ROV,https://forum.openrov.com/t/additional-sensors-to-the-rov/1078,Open Talk,3.1k,Jan '16,25
How waterproof are acrylic welds?,https://forum.openrov.com/t/how-waterproof-are-acrylic-welds/3805,Open Talk,729,Jan '16,0
Acrilic cement in Europe not hard to find,https://forum.openrov.com/t/acrilic-cement-in-europe-not-hard-to-find/3799,Project and Build Discussion,795,Jan '16,0
Builders in Switzerland?,https://forum.openrov.com/t/builders-in-switzerland/1062,Open Talk,1.3k,Jan '16,6
IMU sensor on new ROV,https://forum.openrov.com/t/imu-sensor-on-new-rov/3437,Electronics,1.8k,Jan '16,5
External Lights Take 2,https://forum.openrov.com/t/external-lights-take-2/3393,Project and Build Discussion,3.2k,Jan '16,12
"The epoxy, is it the 2 Ton Epoxy (21345) the only choice?",https://forum.openrov.com/t/the-epoxy-is-it-the-2-ton-epoxy-21345-the-only-choice/3780,Open Talk,491,Jan '16,0
[SOLVED] Is the Syringe contained in the 2.8 kit?,https://forum.openrov.com/t/solved-is-the-syringe-contained-in-the-2-8-kit/3777,Open Talk,808,Jan '16,2
Connecting to a different ROV?,https://forum.openrov.com/t/connecting-to-a-different-rov/3776,Electronics,1.2k,Jan '16,2
"Looking for someone to build an OpenROV for us, bay area preferred",https://forum.openrov.com/t/looking-for-someone-to-build-an-openrov-for-us-bay-area-preferred/3772,Open Talk,619,Jan '16,0
[SOLVED] Arduino Update Errors & Failure to Launch,https://forum.openrov.com/t/solved-arduino-update-errors-failure-to-launch/3752,Open Talk,830,Jan '16,2
Problem of installing Cloud9,https://forum.openrov.com/t/problem-of-installing-cloud9/3764,Software,714,Jan '16,1
Best place to mount a GoPro?,https://forum.openrov.com/t/best-place-to-mount-a-gopro/3418,Open Talk,5.1k,Jan '16,12
How to debug the openrov-software-arduino-30.0.3 command format?,https://forum.openrov.com/t/how-to-debug-the-openrov-software-arduino-30-0-3-command-format/3639,Software,1.8k,Jan '16,4
Acrylic Cement in China,https://forum.openrov.com/t/acrylic-cement-in-china/3738,Open Talk,1.0k,Jan '16,4
Guide to sounds,https://forum.openrov.com/t/guide-to-sounds/3749,Open Talk,782,Jan '16,2
Controlling a servo on pin D10 from cockpit,https://forum.openrov.com/t/controlling-a-servo-on-pin-d10-from-cockpit/3746,Software,1.4k,Jan '16,2
"Ipad control, again",https://forum.openrov.com/t/ipad-control-again/3733,Software,1.7k,Jan '16,5
Adding Lidar Distance Sensor to openROV 2.8,https://forum.openrov.com/t/adding-lidar-distance-sensor-to-openrov-2-8/3743,Software,1.3k,Jan '16,1
OpenROV Gripper,https://forum.openrov.com/t/openrov-gripper/2657,Project and Build Discussion,1.6k,Jan '16,2
Sourcing power supplies Middle Europe,https://forum.openrov.com/t/sourcing-power-supplies-middle-europe/3416,Open Talk,2.5k,Jan '16,13
Jet propelled underwater drone,https://forum.openrov.com/t/jet-propelled-underwater-drone/3731,Open Talk,2.4k,Jan '16,5
SOG (speed) wich is?,https://forum.openrov.com/t/sog-speed-wich-is/3725,Electronics,1.0k,Jan '16,2
Trident operating depth,https://forum.openrov.com/t/trident-operating-depth/3729,Open Talk,869,Jan '16,1
[SOLVED] How long is the lead time to HongKong?,https://forum.openrov.com/t/solved-how-long-is-the-lead-time-to-hongkong/3713,Open Talk,812,Dec '15,2
"Optimizing the ROV, tether management",https://forum.openrov.com/t/optimizing-the-rov-tether-management/3690,Project and Build Discussion,1.6k,Dec '15,2
Does anyone have a 3d working model of canfield joint?,https://forum.openrov.com/t/does-anyone-have-a-3d-working-model-of-canfield-joint/3696,Open Talk,726,Dec '15,0
Best manipulator for the job,https://forum.openrov.com/t/best-manipulator-for-the-job/3695,Open Talk,654,Dec '15,0
Troubleshooting: Get voltage to the onboard Tenda,https://forum.openrov.com/t/troubleshooting-get-voltage-to-the-onboard-tenda/3693,Electronics,869,Dec '15,2
Feature: Change default keyboard control to be more like FPS games,https://forum.openrov.com/t/feature-change-default-keyboard-control-to-be-more-like-fps-games/2624,Software,2.5k,Dec '15,7
What are the ways to adjust buoyancy due to adding heavy payloads?,https://forum.openrov.com/t/what-are-the-ways-to-adjust-buoyancy-due-to-adding-heavy-payloads/175,Open Talk,911,Dec '15,3
How to setup Eclipse to work with OpenRov code?,https://forum.openrov.com/t/how-to-setup-eclipse-to-work-with-openrov-code/3668,Software,1.3k,Dec '15,4
The version of Node.js install。,https://forum.openrov.com/t/the-version-of-node-js-install/3671,Software,653,Dec '15,1
New IMU not working,https://forum.openrov.com/t/new-imu-not-working/3660,Add-on Components,1.6k,Dec '15,4
Using Afro 12A ESC to get reverse direction rotation of motor,https://forum.openrov.com/t/using-afro-12a-esc-to-get-reverse-direction-rotation-of-motor/3643,Open Talk,2.3k,Dec '15,3
ROV pressure under 100 mts,https://forum.openrov.com/t/rov-pressure-under-100-mts/3635,Open Talk,1.0k,Dec '15,3
How to start this project?,https://forum.openrov.com/t/how-to-start-this-project/3591,Software,1.6k,Nov '15,3
How to confirm the system is stable?,https://forum.openrov.com/t/how-to-confirm-the-system-is-stable/3604,Software,1.0k,Nov '15,2
IMU is dead and only port side LEDS working,https://forum.openrov.com/t/imu-is-dead-and-only-port-side-leds-working/3581,Electronics,3.3k,Nov '15,29
Deep ROV Files That I used,https://forum.openrov.com/t/deep-rov-files-that-i-used/3609,Hardware,2.8k,Nov '15,11
Building my own ROV,https://forum.openrov.com/t/building-my-own-rov/3626,Open Talk,1.8k,Nov '15,6
Power distribution circuit,https://forum.openrov.com/t/power-distribution-circuit/3630,Electronics,878,Nov '15,0
Camera not refreshing?,https://forum.openrov.com/t/camera-not-refreshing/3602,Open Talk,999,Nov '15,3
Adding new commands,https://forum.openrov.com/t/adding-new-commands/3116,Software,1.1k,Nov '15,3
Problems updating Arduino image,https://forum.openrov.com/t/problems-updating-arduino-image/606,Open Talk,1.7k,Nov '15,10
Price of Trident!,https://forum.openrov.com/t/price-of-trident/3611,Open Talk,1.6k,Nov '15,6
Openprop call out,https://forum.openrov.com/t/openprop-call-out/3599,Project and Build Discussion,841,Nov '15,0
Rugged depth sensor,https://forum.openrov.com/t/rugged-depth-sensor/3595,Electronics,898,Nov '15,1
Looking for projects or expeditions to highlight at OggCamp,https://forum.openrov.com/t/looking-for-projects-or-expeditions-to-highlight-at-oggcamp/3335,Open Talk,919,Nov '15,2
Software Serial,https://forum.openrov.com/t/software-serial/3580,Open Talk,1.1k,Nov '15,2
ROV 1912 and Fiomarine OpenROV Accessories,https://forum.openrov.com/t/rov-1912-and-fiomarine-openrov-accessories/3589,Project and Build Discussion,1.7k,Nov '15,1
Power specs for IMU?,https://forum.openrov.com/t/power-specs-for-imu/3586,Add-on Components,910,Nov '15,2
Failure in Burning OpenROV Suite v30.0.3 ROV FLASH image (Released Oct 7 2015),https://forum.openrov.com/t/failure-in-burning-openrov-suite-v30-0-3-rov-flash-image-released-oct-7-2015/3583,Open Talk,1.1k,Nov '15,4
How to clean the motors?,https://forum.openrov.com/t/how-to-clean-the-motors/3576,Electronics,928,Nov '15,1
LiFePO4 Battery from All-Battery,https://forum.openrov.com/t/lifepo4-battery-from-all-battery/3558,Electronics,966,Nov '15,1
Optimal external power source,https://forum.openrov.com/t/optimal-external-power-source/3549,Electronics,1.1k,Nov '15,1
Cape-Abilities,https://forum.openrov.com/t/cape-abilities/373,Software,1.1k,Oct '15,8
Extract IMU data and Transects,https://forum.openrov.com/t/extract-imu-data-and-transects/3551,Electronics,807,Oct '15,0
[SOLVED] Booting up openrov 2.8,https://forum.openrov.com/t/solved-booting-up-openrov-2-8/3538,Open Talk,2.2k,Oct '15,17
External light wire colors,https://forum.openrov.com/t/external-light-wire-colors/3530,Open Talk,1.1k,Oct '15,3
Where to connect a water ingress alarm?,https://forum.openrov.com/t/where-to-connect-a-water-ingress-alarm/3541,Electronics,843,Oct '15,5
OPEN ROV 2.6 #1206 and the over-engineered tether management,https://forum.openrov.com/t/open-rov-2-6-1206-and-the-over-engineered-tether-management/3526,Hardware,2.3k,Oct '15,5
TetherCam Build,https://forum.openrov.com/t/tethercam-build/2916,Project and Build Discussion,4.0k,Oct '15,13
[SOLVED] Rant - I HATE LINUX!,https://forum.openrov.com/t/solved-rant-i-hate-linux/3527,Open Talk,1.8k,Oct '15,16
Why is my battery monitor wrong?,https://forum.openrov.com/t/why-is-my-battery-monitor-wrong/3518,Electronics,759,Oct '15,3
Can’t find version 30.0.3,https://forum.openrov.com/t/cant-find-version-30-0-3/3523,Electronics,937,Oct '15,1
Glowforge - 3D Laser Printer,https://forum.openrov.com/t/glowforge-3d-laser-printer/3428,Project and Build Discussion,1.3k,Oct '15,1
Simple Theme and 30.0.3,https://forum.openrov.com/t/simple-theme-and-30-0-3/3517,Open Talk,801,Oct '15,1
Introduction for Tilt calibration,https://forum.openrov.com/t/introduction-for-tilt-calibration/3513,Open Talk,946,Oct '15,1
Determining the center of buoyancy of the OpenROV?,https://forum.openrov.com/t/determining-the-center-of-buoyancy-of-the-openrov/3497,Open Talk,1.5k,Oct '15,3
We Did Translated Korean!,https://forum.openrov.com/t/we-did-translated-korean/3507,Software,696,Oct '15,1
Cruising yachts,https://forum.openrov.com/t/cruising-yachts/3502,Open Talk,625,Oct '15,0
OpenRov #2497 arrives in the UK,https://forum.openrov.com/t/openrov-2497-arrives-in-the-uk/3265,Project and Build Discussion,5.7k,Oct '15,63
OpenROV # 3440 arrives in the UK,https://forum.openrov.com/t/openrov-3440-arrives-in-the-uk/3316,Open Talk,1.6k,Oct '15,8
Is there battery drain when computer is disconnected?,https://forum.openrov.com/t/is-there-battery-drain-when-computer-is-disconnected/3419,Electronics,1.0k,Oct '15,3
How to change a theme for openrov 2.7?,https://forum.openrov.com/t/how-to-change-a-theme-for-openrov-2-7/3489,Software,834,Oct '15,1
"Hello~., This is a Korean Rov Team (SeeSea)",https://forum.openrov.com/t/hello-this-is-a-korean-rov-team-seesea/3482,Software,1.1k,Oct '15,3
Rotation issue when dive/emerge in Custom Frame ROV (using openrov hard/software),https://forum.openrov.com/t/rotation-issue-when-dive-emerge-in-custom-frame-rov-using-openrov-hard-software/3308,Software,1.4k,Oct '15,9
Gamepad - Sensitivity,https://forum.openrov.com/t/gamepad-sensitivity/1118,Software,2.7k,Oct '15,9
Current and voltage via tether,https://forum.openrov.com/t/current-and-voltage-via-tether/3473,Electronics,687,Oct '15,0
LED Light and Motor Failure,https://forum.openrov.com/t/led-light-and-motor-failure/511,Open Talk,793,Oct '15,5
DDS SkeletonNode - Distributed Systems Programming,https://forum.openrov.com/t/dds-skeletonnode-distributed-systems-programming/3272,Open Talk,2.7k,Oct '15,12
Termination of Neutrally Buoyant Tether,https://forum.openrov.com/t/termination-of-neutrally-buoyant-tether/3458,Hardware,3.0k,Oct '15,10
BETA 30.0.3 software pre-release,https://forum.openrov.com/t/beta-30-0-3-software-pre-release/3376,Software,5.0k,Oct '15,34
Reversing the new ESCs - what am I doing wrong?,https://forum.openrov.com/t/reversing-the-new-escs-what-am-i-doing-wrong/3454,Electronics,2.6k,Oct '15,13
What is the best Light Color,https://forum.openrov.com/t/what-is-the-best-light-color/3453,Open Talk,4.0k,Oct '15,5
Need help with the main strap holding the tube,https://forum.openrov.com/t/need-help-with-the-main-strap-holding-the-tube/3446,Open Talk,1.1k,Oct '15,9
Beaglebone and Arduino,https://forum.openrov.com/t/beaglebone-and-arduino/3451,Electronics,862,Oct '15,1
ETS balun and Ethernet autonegotiation,https://forum.openrov.com/t/ets-balun-and-ethernet-autonegotiation/411,Open Talk,1.3k,Oct '15,11
Neutrally buoyant of the tether,https://forum.openrov.com/t/neutrally-buoyant-of-the-tether/3408,Open Talk,1.2k,Oct '15,2
What USB camera might we want in the next OpenROV Kit or AddOn,https://forum.openrov.com/t/what-usb-camera-might-we-want-in-the-next-openrov-kit-or-addon/2294,Electronics,7.1k,Oct '15,22
Blinking lights and freezing compass and depth meter,https://forum.openrov.com/t/blinking-lights-and-freezing-compass-and-depth-meter/3432,Open Talk,1.0k,Oct '15,3
External Lights and our second trip to the Dater Mine,https://forum.openrov.com/t/external-lights-and-our-second-trip-to-the-dater-mine/3435,Open Talk,785,Oct '15,0
[SOLVED] Is the neutrally buoyant tether still for sale,https://forum.openrov.com/t/solved-is-the-neutrally-buoyant-tether-still-for-sale/3210,Hardware,1.5k,Oct '15,4
Speed controlling of thrusters,https://forum.openrov.com/t/speed-controlling-of-thrusters/3424,Open Talk,724,Sep '15,0
IMU tilt position,https://forum.openrov.com/t/imu-tilt-position/3417,Electronics,792,Sep '15,1
OpenROV 30.0.0 Running on a Beaglebone Black Green,https://forum.openrov.com/t/openrov-30-0-0-running-on-a-beaglebone-black-green/3413,Project and Build Discussion,1.0k,Sep '15,1
Python Notebook for controlling the ROV,https://forum.openrov.com/t/python-notebook-for-controlling-the-rov/1071,Software,1.9k,Sep '15,4
Seeking Conservationists to Donate a Fully Assembled OpenROV to,https://forum.openrov.com/t/seeking-conservationists-to-donate-a-fully-assembled-openrov-to/3414,Open Talk,572,Sep '15,0
[PLUGIN] DiveAlerts,https://forum.openrov.com/t/plugin-divealerts/1149,Open ROV Cockpit-Plugins,2.6k,Sep '15,11
BeagleBone Black,https://forum.openrov.com/t/beaglebone-black/3305,Electronics,1.3k,Sep '15,4
Wing ROV control device,https://forum.openrov.com/t/wing-rov-control-device/3193,Open Talk,1.2k,Sep '15,1
VAT on UK Imports?,https://forum.openrov.com/t/vat-on-uk-imports/3370,Open Talk,818,Sep '15,6
Installing a Plugin using the Developed Guide,https://forum.openrov.com/t/installing-a-plugin-using-the-developed-guide/3340,Software,855,Sep '15,1
Main tube de-focusses the lasers,https://forum.openrov.com/t/main-tube-de-focusses-the-lasers/3388,Open Talk,607,Sep '15,0
Twisted or straight cables for tether,https://forum.openrov.com/t/twisted-or-straight-cables-for-tether/3333,Open Talk,1.1k,Sep '15,4
Hydrostatic Chamber,https://forum.openrov.com/t/hydrostatic-chamber/563,Open Talk,992,Sep '15,4
Newbie to Javascript,https://forum.openrov.com/t/newbie-to-javascript/3359,Open Talk,645,Sep '15,1
Water pump drive rov,https://forum.openrov.com/t/water-pump-drive-rov/47,Open Talk,1.0k,Sep '15,3
Rail System for 2.x Series,https://forum.openrov.com/t/rail-system-for-2-x-series/3356,Project and Build Discussion,1.0k,Sep '15,1
Improving illumination,https://forum.openrov.com/t/improving-illumination/3267,Open Talk,2.1k,Sep '15,10
Remote control the rov,https://forum.openrov.com/t/remote-control-the-rov/3347,Electronics,982,Sep '15,2
Dynamometer for ROV motors?,https://forum.openrov.com/t/dynamometer-for-rov-motors/3313,Open Talk,1.0k,Sep '15,4
Stripping insulation before potting wires?,https://forum.openrov.com/t/stripping-insulation-before-potting-wires/3304,Hardware,1.0k,Sep '15,1
OpenROV Trident,https://forum.openrov.com/t/openrov-trident/3300,Open Talk,959,Sep '15,2
Web-based CAD system for true collaborative hardware development - Onshape,https://forum.openrov.com/t/web-based-cad-system-for-true-collaborative-hardware-development-onshape/2532,Open Talk,1.4k,Sep '15,5
"3D FPV with Google Cardboard, Oculus Rift and more",https://forum.openrov.com/t/3d-fpv-with-google-cardboard-oculus-rift-and-more/1206,Software,7.6k,Sep '15,13
Loctite E-90 FL Hysol really good?,https://forum.openrov.com/t/loctite-e-90-fl-hysol-really-good/69,Open Talk,2.2k,Sep '15,7
How does it work,https://forum.openrov.com/t/how-does-it-work/2349,Open Talk,809,Sep '15,1
The exact spec for acrylic adhesive?,https://forum.openrov.com/t/the-exact-spec-for-acrylic-adhesive/3281,Open Talk,537,Sep '15,2
Emergency ascent in case of failure or power out,https://forum.openrov.com/t/emergency-ascent-in-case-of-failure-or-power-out/2329,Open Talk,1.3k,Sep '15,4
Alternative chemicals in Europe,https://forum.openrov.com/t/alternative-chemicals-in-europe/927,Open Talk,664,Sep '15,7
[Solved] Controller Board 2.7 power problem,https://forum.openrov.com/t/solved-controller-board-2-7-power-problem/3243,Electronics,971,Sep '15,0
Comms Problem between HomePlug adapters,https://forum.openrov.com/t/comms-problem-between-homeplug-adapters/1106,Open Talk,4.6k,Sep '15,23
BlueRoamer 1.0 OpenROV #2096,https://forum.openrov.com/t/blueroamer-1-0-openrov-2096/2848,Project and Build Discussion,2.3k,Sep '15,9
Expedition Boat - From a rotting corpse to something…useful?,https://forum.openrov.com/t/expedition-boat-from-a-rotting-corpse-to-something-useful/3240,Open Talk,1.6k,Sep '15,5
Cannot SSH into Beaglebone,https://forum.openrov.com/t/cannot-ssh-into-beaglebone/3256,Software,3.2k,Sep '15,2
Magnetic coupling,https://forum.openrov.com/t/magnetic-coupling/3255,Open Talk,948,Sep '15,3
USB power reg for topside,https://forum.openrov.com/t/usb-power-reg-for-topside/3238,Electronics,992,Aug '15,2
OpenROV IMU 2.0,https://forum.openrov.com/t/openrov-imu-2-0/3048,Add-on Components,3.8k,Aug '15,9
OpenROV Software 30.0.0 Installation Notes,https://forum.openrov.com/t/openrov-software-30-0-0-installation-notes/2735,Software,5.3k,Aug '15,14
Disabling the FPS counter,https://forum.openrov.com/t/disabling-the-fps-counter/3241,Software,735,Aug '15,0
What’s the deal with the red hats?,https://forum.openrov.com/t/whats-the-deal-with-the-red-hats/3234,Open Talk,1.0k,Aug '15,0
An improved propeller for the vertical thruster,https://forum.openrov.com/t/an-improved-propeller-for-the-vertical-thruster/1068,Open Talk,3.5k,Aug '15,4
Speed control ROV motors,https://forum.openrov.com/t/speed-control-rov-motors/2997,Software,2.1k,Aug '15,11
Wi-Fi Topside Adapter,https://forum.openrov.com/t/wi-fi-topside-adapter/3156,Open Talk,2.6k,Aug '15,3
