name,url,,,
Stupid battery question,https://forum.openrov.com/t/stupid-battery-question/1356,3,385,"
             2014-12-14 14:03:07 UTC
           "
Stupid battery question,https://forum.openrov.com/t/stupid-battery-question/1355,1,301,"
             2014-12-14 14:02:16 UTC
           "
Connection from laptop,https://forum.openrov.com/t/connection-from-laptop/1337,1,525,"
             2014-11-27 07:27:58 UTC
           "
Openrov 2.6 startup,https://forum.openrov.com/t/openrov-2-6-startup/794,4,758,"
             2014-02-10 04:45:49 UTC
           "
Other Systems,https://forum.openrov.com/t/other-systems/1346,0,423,"
             2014-12-05 22:53:12 UTC
           "
ESCês running full tilt after programming and calibration,https://forum.openrov.com/t/escs-running-full-tilt-after-programming-and-calibration/1342,1,336,"
             2014-12-01 14:34:10 UTC
           "
Group-buy of acrylic tubes for build (primarily NORWAY),https://forum.openrov.com/t/group-buy-of-acrylic-tubes-for-build-primarily-norway/331,8,777,"
             2013-02-27 21:52:22 UTC
           "
Program & Calibrate ESC - FYI,https://forum.openrov.com/t/program-calibrate-esc-fyi/1015,1,336,"
             2014-05-22 19:59:38 UTC
           "
Shipping cost?,https://forum.openrov.com/t/shipping-cost/1282,4,426,"
             2014-10-30 06:38:32 UTC
           "
Cannot see Codes in Cloud9,https://forum.openrov.com/t/cannot-see-codes-in-cloud9/1318,1,385,"
             2014-11-16 11:52:48 UTC
           "
Wet-connections - any one looked into it?,https://forum.openrov.com/t/wet-connections-any-one-looked-into-it/1338,12,517,"
             2014-11-27 08:24:41 UTC
           "
1st pool dive - Problems faced and lessons learned,https://forum.openrov.com/t/1st-pool-dive-problems-faced-and-lessons-learned/1333,4,577,"
             2014-11-24 12:24:20 UTC
           "
Better way to mount the lasers?,https://forum.openrov.com/t/better-way-to-mount-the-lasers/1335,1,450,"
             2014-11-25 07:08:28 UTC
           "
OpenROV on H2ês America Unearthed,https://forum.openrov.com/t/openrov-on-h2s-america-unearthed/1237,6,738,"
             2014-10-11 21:04:09 UTC
           "
1st attempt at power up,https://forum.openrov.com/t/1st-attempt-at-power-up/1334,1,468,"
             2014-11-24 16:40:47 UTC
           "
Servo buzzing,https://forum.openrov.com/t/servo-buzzing/1329,4,844,"
             2014-11-21 13:15:23 UTC
           "
Sealed I2C Sensor Suite for OpenROV / Arduino,https://forum.openrov.com/t/sealed-i2c-sensor-suite-for-openrov-arduino/1331,2,412,"
             2014-11-22 22:55:21 UTC
           "
What ESD protection are u using?,https://forum.openrov.com/t/what-esd-protection-are-u-using/1332,0,304,"
             2014-11-23 14:56:47 UTC
           "
Anyone else want a •slowerê ROV for survey work?,https://forum.openrov.com/t/anyone-else-want-a-slower-rov-for-survey-work/1327,10,1.3k,"
             2014-11-21 03:11:44 UTC
           "
Access Hatch Sealant,https://forum.openrov.com/t/access-hatch-sealant/1326,1,344,"
             2014-11-21 00:29:24 UTC
           "
Project Momento: Anyone tried this yet?,https://forum.openrov.com/t/project-momento-anyone-tried-this-yet/1330,0,296,"
             2014-11-21 21:37:14 UTC
           "
LED Configuration,https://forum.openrov.com/t/led-configuration/1321,1,429,"
             2014-11-17 00:29:15 UTC
           "
No Motors with KeyboardÄonly works in diagnostics,https://forum.openrov.com/t/no-motors-with-keyboard-only-works-in-diagnostics/1322,5,353,"
             2014-11-19 15:48:57 UTC
           "
Which 2.5.1 release to use?,https://forum.openrov.com/t/which-2-5-1-release-to-use/1288,10,474,"
             2014-11-01 21:18:32 UTC
           "
Simple theme. Äcockpit,https://forum.openrov.com/t/simple-theme-cockpit/1317,5,370,"
             2014-11-15 22:31:18 UTC
           "
My cradle and cable management,https://forum.openrov.com/t/my-cradle-and-cable-management/1320,1,374,"
             2014-11-16 21:50:10 UTC
           "
We took the OpenROV out to the local pond today,https://forum.openrov.com/t/we-took-the-openrov-out-to-the-local-pond-today/1310,1,341,"
             2014-11-11 22:09:38 UTC
           "
1/4” poly rope with tether inside does NOT float,https://forum.openrov.com/t/1-4-poly-rope-with-tether-inside-does-not-float/1303,8,770,"
             2014-11-09 09:07:53 UTC
           "
Motor testing,https://forum.openrov.com/t/motor-testing/1298,5,420,"
             2014-11-07 17:31:25 UTC
           "
"2.6 kit, included upgrades?",https://forum.openrov.com/t/2-6-kit-included-upgrades/1316,2,310,"
             2014-11-13 12:53:54 UTC
           "
TP link AV500 Nano power line adapter with openrov controller board 2.6,https://forum.openrov.com/t/tp-link-av500-nano-power-line-adapter-with-openrov-controller-board-2-6/1257,9,1.2k,"
             2014-10-23 08:47:35 UTC
           "
–Plastic motor”,https://forum.openrov.com/t/plastic-motor/1110,14,1.0k,"
             2014-07-20 15:21:33 UTC
           "
Propeller Source,https://forum.openrov.com/t/propeller-source/1311,0,328,"
             2014-11-12 02:05:15 UTC
           "
OpenRov controlled though iPad via portable AP - works,https://forum.openrov.com/t/openrov-controlled-though-ipad-via-portable-ap-works/810,17,2.8k,"
             2014-02-17 05:00:32 UTC
           "
Be careful when putting the motor bells back on: donêt let them –snap” into place,https://forum.openrov.com/t/be-careful-when-putting-the-motor-bells-back-on-dont-let-them-snap-into-place/1307,5,211,"
             2014-11-09 21:43:54 UTC
           "
Maiden dive for #1376,https://forum.openrov.com/t/maiden-dive-for-1376/1302,1,394,"
             2014-11-08 22:56:59 UTC
           "
Depth Sensor,https://forum.openrov.com/t/depth-sensor/1284,7,681,"
             2014-11-01 14:40:22 UTC
           "
Putting a home made desiccant inside electronics tube works well,https://forum.openrov.com/t/putting-a-home-made-desiccant-inside-electronics-tube-works-well/1306,0,352,"
             2014-11-09 16:07:45 UTC
           "
Documentation wiki link,https://forum.openrov.com/t/documentation-wiki-link/1304,0,306,"
             2014-11-09 09:51:12 UTC
           "
Acrylic vs. Lexan,https://forum.openrov.com/t/acrylic-vs-lexan/1301,0,468,"
             2014-11-08 20:31:34 UTC
           "
2.5.1 - yaw correction?,https://forum.openrov.com/t/2-5-1-yaw-correction/1296,1,359,"
             2014-11-06 21:20:14 UTC
           "
Weld on 4?,https://forum.openrov.com/t/weld-on-4/1297,1,476,"
             2014-11-06 21:45:04 UTC
           "
Uploading firmware,https://forum.openrov.com/t/uploading-firmware/1211,2,753,"
             2014-09-25 13:26:56 UTC
           "
RC5 Update,https://forum.openrov.com/t/rc5-update/1294,0,306,"
             2014-11-05 16:03:51 UTC
           "
Possible Design Modification going forward?,https://forum.openrov.com/t/possible-design-modification-going-forward/1292,1,311,"
             2014-11-04 16:39:38 UTC
           "
No response from ROV,https://forum.openrov.com/t/no-response-from-rov/1269,4,540,"
             2014-10-26 22:26:37 UTC
           "
Up to date Solidworks model?,https://forum.openrov.com/t/up-to-date-solidworks-model/1283,2,503,"
             2014-10-31 02:56:36 UTC
           "
"Cockpit is down, the software don‚t work",https://forum.openrov.com/t/cockpit-is-down-the-software-don-t-work/1278,1,316,"
             2014-10-28 03:23:32 UTC
           "
"Cockpit is down, the software don‚t work",https://forum.openrov.com/t/cockpit-is-down-the-software-don-t-work/1276,1,345,"
             2014-10-28 03:15:59 UTC
           "
No response from ROV,https://forum.openrov.com/t/no-response-from-rov/1268,2,276,"
             2014-10-26 22:26:17 UTC
           "
Game Controller Compatibility,https://forum.openrov.com/t/game-controller-compatibility/1262,1,295,"
             2014-10-24 01:40:11 UTC
           "
Assenbly front end caps,https://forum.openrov.com/t/assenbly-front-end-caps/1289,1,486,"
             2014-11-02 05:32:15 UTC
           "
Adding the LiPO4 battery settings,https://forum.openrov.com/t/adding-the-lipo4-battery-settings/1245,6,969,"
             2014-10-19 20:04:22 UTC
           "
About OpenROVês wireless control,https://forum.openrov.com/t/about-openrovs-wireless-control/1281,12,2.6k,"
             2014-10-30 00:48:49 UTC
           "
Daylight Friendly Monitor,https://forum.openrov.com/t/daylight-friendly-monitor/1279,0,253,"
             2014-10-28 13:27:27 UTC
           "
"Cockpit is down, the software don‚t work",https://forum.openrov.com/t/cockpit-is-down-the-software-don-t-work/1277,0,367,"
             2014-10-28 03:23:29 UTC
           "
Updated to image 2.5.1-86Ä.. = problems,https://forum.openrov.com/t/updated-to-image-2-5-1-86-problems/1273,3,199,"
             2014-10-27 13:57:31 UTC
           "
Teething problems,https://forum.openrov.com/t/teething-problems/1275,0,382,"
             2014-10-27 20:33:35 UTC
           "
Testing on 1 battery tube,https://forum.openrov.com/t/testing-on-1-battery-tube/1271,2,329,"
             2014-10-27 11:44:24 UTC
           "
Trustfire charger fail Order #2137,https://forum.openrov.com/t/trustfire-charger-fail-order-2137/1267,1,440,"
             2014-10-26 20:58:23 UTC
           "
Ground Station OpenRov,https://forum.openrov.com/t/ground-station-openrov/1246,6,1.0k,"
             2014-10-20 07:55:30 UTC
           "
OpenRov Scalemodel in Polymorph,https://forum.openrov.com/t/openrov-scalemodel-in-polymorph/1263,0,247,"
             2014-10-24 16:41:58 UTC
           "
Pool TestingÄChlorine? What should be done before and after dive?,https://forum.openrov.com/t/pool-testing-chlorine-what-should-be-done-before-and-after-dive/1243,3,632,"
             2014-10-17 17:06:58 UTC
           "
Role of Beagle + Arduino +Tether,https://forum.openrov.com/t/role-of-beagle-arduino-tether/1256,9,1.1k,"
             2014-10-23 05:18:34 UTC
           "
2.6 Controller Board : Max Current Supported to Motor?,https://forum.openrov.com/t/2-6-controller-board-max-current-supported-to-motor/1259,2,458,"
             2014-10-23 14:21:24 UTC
           "
Full Functionality on Latest Control System,https://forum.openrov.com/t/full-functionality-on-latest-control-system/1260,1,255,"
             2014-10-23 20:18:03 UTC
           "
"[solved] No Conn, Controller board doesnt boot REVISITED",https://forum.openrov.com/t/solved-no-conn-controller-board-doesnt-boot-revisited/1249,3,439,"
             2014-10-21 15:57:00 UTC
           "
Uploading arduino firmware,https://forum.openrov.com/t/uploading-arduino-firmware/804,38,2.4k,"
             2014-02-14 03:35:54 UTC
           "
Potting motors,https://forum.openrov.com/t/potting-motors/1254,1,397,"
             2014-10-23 01:23:47 UTC
           "
ESC mounting on PCB,https://forum.openrov.com/t/esc-mounting-on-pcb/1250,4,716,"
             2014-10-22 07:42:34 UTC
           "
S/n,https://forum.openrov.com/t/s-n/1252,3,356,"
             2014-10-22 12:03:30 UTC
           "
Removing residual water from the motors after a dive,https://forum.openrov.com/t/removing-residual-water-from-the-motors-after-a-dive/1247,7,397,"
             2014-10-20 20:11:13 UTC
           "
IMU Contact Test,https://forum.openrov.com/t/imu-contact-test/848,2,374,"
             2014-03-08 01:53:33 UTC
           "
"No Conn, Controller board doesnt boot, BBB stays off",https://forum.openrov.com/t/no-conn-controller-board-doesnt-boot-bbb-stays-off/1244,1,491,"
             2014-10-19 12:56:58 UTC
           "
I stripped the resin gears in the camera servo,https://forum.openrov.com/t/i-stripped-the-resin-gears-in-the-camera-servo/1242,1,405,"
             2014-10-15 18:09:46 UTC
           "
Logitech GamepadÄstrategy for installing on OpenROV 2.6,https://forum.openrov.com/t/logitech-gamepad-strategy-for-installing-on-openrov-2-6/1240,2,446,"
             2014-10-14 12:53:24 UTC
           "
IMU problems,https://forum.openrov.com/t/imu-problems/1209,6,817,"
             2014-09-22 16:01:00 UTC
           "
How can I determine the thickness of components in the v2.6 DXF file?,https://forum.openrov.com/t/how-can-i-determine-the-thickness-of-components-in-the-v2-6-dxf-file/1220,5,245,"
             2014-10-02 06:23:23 UTC
           "
Wepay,https://forum.openrov.com/t/wepay/1238,1,753,"
             2014-10-12 14:53:15 UTC
           "
Community components/hacks for OpenROV,https://forum.openrov.com/t/community-components-hacks-for-openrov/1239,0,246,"
             2014-10-13 22:43:00 UTC
           "
How to define –pre-tasks” for the OpenRov,https://forum.openrov.com/t/how-to-define-pre-tasks-for-the-openrov/1233,1,478,"
             2014-10-09 15:23:14 UTC
           "
Topside adapter gets quite warm?,https://forum.openrov.com/t/topside-adapter-gets-quite-warm/1232,1,274,"
             2014-10-08 22:08:09 UTC
           "
ESC testing,https://forum.openrov.com/t/esc-testing/1201,2,505,"
             2014-09-19 15:03:50 UTC
           "
Retaining Clips on Thrust Motors,https://forum.openrov.com/t/retaining-clips-on-thrust-motors/1227,9,344,"
             2014-10-06 00:18:32 UTC
           "
Motor Reliability and Replacement Schedule,https://forum.openrov.com/t/motor-reliability-and-replacement-schedule/1229,1,302,"
             2014-10-06 17:39:53 UTC
           "
How to cut polypropylene,https://forum.openrov.com/t/how-to-cut-polypropylene/1230,0,417,"
             2014-10-06 22:27:09 UTC
           "
Problem with camera after update/changes,https://forum.openrov.com/t/problem-with-camera-after-update-changes/1191,4,540,"
             2014-09-09 16:38:15 UTC
           "
Reading/altering DXF files,https://forum.openrov.com/t/reading-altering-dxf-files/1215,2,352,"
             2014-09-29 17:28:53 UTC
           "
"Rov building based on RC receiver, servoes and more",https://forum.openrov.com/t/rov-building-based-on-rc-receiver-servoes-and-more/1203,2,295,"
             2014-09-20 19:16:42 UTC
           "
The Rov Needs More Stuff You Can Buy For It Like Accesorys,https://forum.openrov.com/t/the-rov-needs-more-stuff-you-can-buy-for-it-like-accesorys/1185,8,1.4k,"
             2014-09-05 19:54:04 UTC
           "
Go-Pro lenses,https://forum.openrov.com/t/go-pro-lenses/1212,0,402,"
             2014-09-27 06:46:51 UTC
           "
How to buy the kit in China_,https://forum.openrov.com/t/how-to-buy-the-kit-in-china/1199,3,441,"
             2014-09-18 08:27:04 UTC
           "
Are they enough?,https://forum.openrov.com/t/are-they-enough/1207,6,584,"
             2014-09-22 06:21:59 UTC
           "
Battery Housing Mistake,https://forum.openrov.com/t/battery-housing-mistake/1210,0,333,"
             2014-09-22 16:35:03 UTC
           "
New OpenROVer,https://forum.openrov.com/t/new-openrover/1204,2,262,"
             2014-09-20 23:27:29 UTC
           "
Open Water Test - Sharing results,https://forum.openrov.com/t/open-water-test-sharing-results/1198,1,816,"
             2014-09-17 19:10:00 UTC
           "
LiFePO4 alternative cells,https://forum.openrov.com/t/lifepo4-alternative-cells/1195,6,1.1k,"
             2014-09-12 12:01:05 UTC
           "
Problems finding batteries,https://forum.openrov.com/t/problems-finding-batteries/1192,4,366,"
             2014-09-10 14:21:08 UTC
           "
OpenROV with beaglebone White+cape need help,https://forum.openrov.com/t/openrov-with-beaglebone-white-cape-need-help/1181,4,250,"
             2014-09-02 06:10:11 UTC
           "
Vertical Thruster Friction Fix,https://forum.openrov.com/t/vertical-thruster-friction-fix/922,3,755,"
             2014-04-18 00:31:59 UTC
           "
Whoês headed to New York?,https://forum.openrov.com/t/whos-headed-to-new-york/1174,9,378,"
             2014-08-26 20:56:03 UTC
           "
Scan under water?,https://forum.openrov.com/t/scan-under-water/1186,2,420,"
             2014-09-05 23:39:09 UTC
           "
How to remove Protection circuit from Trustfire batteries,https://forum.openrov.com/t/how-to-remove-protection-circuit-from-trustfire-batteries/1138,5,715,"
             2014-08-10 19:22:55 UTC
           "
Weld-on like glue in europe,https://forum.openrov.com/t/weld-on-like-glue-in-europe/200,6,1.8k,"
             2012-11-02 21:03:45 UTC
           "
What length are the battery tubes supposed to be?,https://forum.openrov.com/t/what-length-are-the-battery-tubes-supposed-to-be/393,2,350,"
             2013-04-19 00:44:18 UTC
           "
TIlt angle for ROV camera assembly,https://forum.openrov.com/t/tilt-angle-for-rov-camera-assembly/1179,2,699,"
             2014-08-30 22:23:47 UTC
           "
"What are the size ,weight and resolution of the camera of the openrov kit 2.6",https://forum.openrov.com/t/what-are-the-size-weight-and-resolution-of-the-camera-of-the-openrov-kit-2-6/1178,1,250,"
             2014-08-30 11:19:45 UTC
           "
Battery Polarity Check,https://forum.openrov.com/t/battery-polarity-check/1148,1,359,"
             2014-08-14 02:08:10 UTC
           "
About tariff,https://forum.openrov.com/t/about-tariff/1176,1,285,"
             2014-08-27 14:22:00 UTC
           "
Where is the openrov factory?,https://forum.openrov.com/t/where-is-the-openrov-factory/1175,2,277,"
             2014-08-27 14:11:14 UTC
           "
UK based builder looking for laser cutting,https://forum.openrov.com/t/uk-based-builder-looking-for-laser-cutting/1090,7,466,"
             2014-07-08 18:05:23 UTC
           "
I fail to calibrate the ESCês,https://forum.openrov.com/t/i-fail-to-calibrate-the-escs/1130,5,342,"
             2014-08-06 01:36:21 UTC
           "
OpenROV 2.6 will not boot latest released firmware image,https://forum.openrov.com/t/openrov-2-6-will-not-boot-latest-released-firmware-image/1165,1,546,"
             2014-08-21 19:49:07 UTC
           "
Kickstarter campaign I can really get behind,https://forum.openrov.com/t/kickstarter-campaign-i-can-really-get-behind/1170,1,266,"
             2014-08-25 01:18:00 UTC
           "
How to buy the openrov,https://forum.openrov.com/t/how-to-buy-the-openrov/1171,2,355,"
             2014-08-25 08:08:51 UTC
           "
No video,https://forum.openrov.com/t/no-video/1168,4,759,"
             2014-08-22 19:11:12 UTC
           "
The birth of #1087,https://forum.openrov.com/t/the-birth-of-1087/1167,0,372,"
             2014-08-22 16:23:12 UTC
           "
Water Sampler,https://forum.openrov.com/t/water-sampler/52,22,3.9k,"
             2012-04-27 01:50:39 UTC
           "
OpenROV Help in North Carolina,https://forum.openrov.com/t/openrov-help-in-north-carolina/1161,0,381,"
             2014-08-20 16:39:57 UTC
           "
Image OpenROV-2.5-29.img.7z,https://forum.openrov.com/t/image-openrov-2-5-29-img-7z/1157,0,246,"
             2014-08-19 05:59:36 UTC
           "
More V2.6 parts,https://forum.openrov.com/t/more-v2-6-parts/1004,4,407,"
             2014-05-18 19:28:04 UTC
           "
Best power option out there?,https://forum.openrov.com/t/best-power-option-out-there/1155,0,319,"
             2014-08-18 18:50:23 UTC
           "
Scaling laser on controller board,https://forum.openrov.com/t/scaling-laser-on-controller-board/1150,10,720,"
             2014-08-15 18:00:49 UTC
           "
Removing SuperGlue,https://forum.openrov.com/t/removing-superglue/1143,2,415,"
             2014-08-12 00:44:47 UTC
           "
Leaking electronic housing,https://forum.openrov.com/t/leaking-electronic-housing/1128,12,1.2k,"
             2014-08-04 20:17:40 UTC
           "
Power issue with home plug,https://forum.openrov.com/t/power-issue-with-home-plug/1145,6,327,"
             2014-08-12 21:29:57 UTC
           "
Thrusters,https://forum.openrov.com/t/thrusters/1134,2,329,"
             2014-08-09 05:01:59 UTC
           "
Arduino Uno or Mega?,https://forum.openrov.com/t/arduino-uno-or-mega/1144,2,671,"
             2014-08-12 12:58:15 UTC
           "
mpu_init failed,https://forum.openrov.com/t/mpu-init-failed/1136,11,1.1k,"
             2014-08-09 21:21:18 UTC
           "
Using openROV without the controller board,https://forum.openrov.com/t/using-openrov-without-the-controller-board/1140,3,375,"
             2014-08-11 12:32:33 UTC
           "
Running the ROV from an external source,https://forum.openrov.com/t/running-the-rov-from-an-external-source/1147,0,263,"
             2014-08-12 21:44:23 UTC
           "
Has anyone run the ROV on a netbook?,https://forum.openrov.com/t/has-anyone-run-the-rov-on-a-netbook/1146,0,227,"
             2014-08-12 21:34:20 UTC
           "
Loss of motor control and cockpit resets,https://forum.openrov.com/t/loss-of-motor-control-and-cockpit-resets/1131,13,670,"
             2014-08-06 03:26:28 UTC
           "
Opennautilus AN AUTONOMOUS UNDERWATER SURVEILLANCE VEHICLE (AUV) BASED ON A LIVING FOSSIL NAUTILUS,https://forum.openrov.com/t/opennautilus-an-autonomous-underwater-surveillance-vehicle-auv-based-on-a-living-fossil-nautilus/1139,0,157,"
             2014-08-11 05:52:19 UTC
           "
Bill of Materials optimized for other countries,https://forum.openrov.com/t/bill-of-materials-optimized-for-other-countries/1132,4,410,"
             2014-08-06 14:30:26 UTC
           "
Propeller Characterization,https://forum.openrov.com/t/propeller-characterization/1133,3,1.6k,"
             2014-08-07 12:47:40 UTC
           "
Opennautilus AN AUTONOMOUS UNDERWATER SURVEILLANCE VEHICLE (AUV) BASED ON A LIVING FOSSIL NAUTILUS,https://forum.openrov.com/t/opennautilus-an-autonomous-underwater-surveillance-vehicle-auv-based-on-a-living-fossil-nautilus/2014,3,193,"
             2014-08-02 03:47:31 UTC
           "
OpenRov error,https://forum.openrov.com/t/openrov-error/1127,0,324,"
             2014-08-02 07:33:55 UTC
           "
Dazed and Confused,https://forum.openrov.com/t/dazed-and-confused/1079,19,887,"
             2014-07-03 00:28:50 UTC
           "
Connection lost after first start up,https://forum.openrov.com/t/connection-lost-after-first-start-up/878,38,2.4k,"
             2014-03-22 16:59:22 UTC
           "
CAD files can be opened by solidworks?,https://forum.openrov.com/t/cad-files-can-be-opened-by-solidworks/1123,0,307,"
             2014-07-30 16:58:53 UTC
           "
"Flying into US with OpenROV, via DUB-LGW",https://forum.openrov.com/t/flying-into-us-with-openrov-via-dub-lgw/1043,3,196,"
             2014-06-11 16:03:07 UTC
           "
Solidworks model of Motor,https://forum.openrov.com/t/solidworks-model-of-motor/1122,3,626,"
             2014-07-28 12:22:42 UTC
           "
Underwater Arm/Manipulator based on the OpenHand adaptive robot hand,https://forum.openrov.com/t/underwater-arm-manipulator-based-on-the-openhand-adaptive-robot-hand/355,4,1.0k,"
             2013-03-14 10:16:15 UTC
           "
OpenExplorer error?,https://forum.openrov.com/t/openexplorer-error/1114,2,313,"
             2014-07-23 10:16:19 UTC
           "
Left turn reboot issue under water,https://forum.openrov.com/t/left-turn-reboot-issue-under-water/1103,4,346,"
             2014-07-14 05:09:10 UTC
           "
Vertical thruster direction?,https://forum.openrov.com/t/vertical-thruster-direction/1117,1,287,"
             2014-07-23 21:53:39 UTC
           "
I canêt connect to the ROV,https://forum.openrov.com/t/i-cant-connect-to-the-rov/1082,23,1.5k,"
             2014-07-05 17:05:05 UTC
           "
Left and right panning,https://forum.openrov.com/t/left-and-right-panning/1087,4,518,"
             2014-07-08 03:27:35 UTC
           "
Camera,https://forum.openrov.com/t/camera/1107,2,348,"
             2014-07-15 20:08:57 UTC
           "
Sensors,https://forum.openrov.com/t/sensors/1100,2,413,"
             2014-07-11 10:05:16 UTC
           "
Scales on openROV cockpit,https://forum.openrov.com/t/scales-on-openrov-cockpit/1093,1,615,"
             2014-07-09 20:26:33 UTC
           "
Charger and batteries,https://forum.openrov.com/t/charger-and-batteries/396,3,349,"
             2013-04-21 11:01:37 UTC
           "
Laser Cutting Imperfection Leading to Water Leaking,https://forum.openrov.com/t/laser-cutting-imperfection-leading-to-water-leaking/1092,0,713,"
             2014-07-09 00:58:48 UTC
           "
IMU installation instruction help? SSH?,https://forum.openrov.com/t/imu-installation-instruction-help-ssh/1081,2,451,"
             2014-07-05 00:58:05 UTC
           "
Tp-link tl-mr3040,https://forum.openrov.com/t/tp-link-tl-mr3040/1089,1,374,"
             2014-07-08 16:39:08 UTC
           "
Changing design,https://forum.openrov.com/t/changing-design/951,17,901,"
             2014-04-30 09:47:17 UTC
           "
Problem calibrating the ESC,https://forum.openrov.com/t/problem-calibrating-the-esc/1080,4,360,"
             2014-07-03 16:34:53 UTC
           "
Acrylic glue is mistaken as a bomb at airport security!,https://forum.openrov.com/t/acrylic-glue-is-mistaken-as-a-bomb-at-airport-security/1035,3,483,"
             2014-06-05 14:46:40 UTC
           "
Camera Tilt Problems,https://forum.openrov.com/t/camera-tilt-problems/1073,1,436,"
             2014-06-30 20:15:45 UTC
           "
Not Included,https://forum.openrov.com/t/not-included/1038,6,491,"
             2014-06-08 20:28:31 UTC
           "
Motor Problems,https://forum.openrov.com/t/motor-problems/1074,3,372,"
             2014-06-30 21:42:12 UTC
           "
Work in progress - alternate battery holders,https://forum.openrov.com/t/work-in-progress-alternate-battery-holders/1072,2,490,"
             2014-06-30 11:05:03 UTC
           "
Software Problems,https://forum.openrov.com/t/software-problems/1065,8,410,"
             2014-06-27 02:52:31 UTC
           "
Servo range of motion,https://forum.openrov.com/t/servo-range-of-motion/1066,1,364,"
             2014-06-27 15:02:32 UTC
           "
Permanent Magnet,https://forum.openrov.com/t/permanent-magnet/1063,1,504,"
             2014-06-26 05:26:58 UTC
           "
Epoxy Type for Laser Mounting,https://forum.openrov.com/t/epoxy-type-for-laser-mounting/1064,2,326,"
             2014-06-26 19:27:15 UTC
           "
Xbox 360 controller issue,https://forum.openrov.com/t/xbox-360-controller-issue/487,3,524,"
             2013-07-04 01:45:14 UTC
           "
In need of parts for V2.3 Looking to buy spare parts,https://forum.openrov.com/t/in-need-of-parts-for-v2-3-looking-to-buy-spare-parts/1059,1,340,"
             2014-06-22 21:52:20 UTC
           "
Reverse power drops to zero with commands over 70% level on port and starboard motors,https://forum.openrov.com/t/reverse-power-drops-to-zero-with-commands-over-70-level-on-port-and-starboard-motors/1050,3,319,"
             2014-06-13 18:13:12 UTC
           "
Problem with xbox 360 wireless controller,https://forum.openrov.com/t/problem-with-xbox-360-wireless-controller/1045,8,498,"
             2014-06-11 20:28:59 UTC
           "
IMU Location?,https://forum.openrov.com/t/imu-location/1041,6,655,"
             2014-06-09 06:17:34 UTC
           "
Brush Motors C-Clip,https://forum.openrov.com/t/brush-motors-c-clip/1054,2,435,"
             2014-06-17 18:34:04 UTC
           "
Dynamic positioning,https://forum.openrov.com/t/dynamic-positioning/1053,1,596,"
             2014-06-17 17:09:11 UTC
           "
Convert kicad to eagle?,https://forum.openrov.com/t/convert-kicad-to-eagle/1052,0,1.4k,"
             2014-06-17 16:24:21 UTC
           "
Tracking Laser Part No,https://forum.openrov.com/t/tracking-laser-part-no/1044,3,363,"
             2014-06-11 18:29:40 UTC
           "
ESCs on the controller board,https://forum.openrov.com/t/escs-on-the-controller-board/1037,2,333,"
             2014-06-08 17:49:19 UTC
           "
Why are the motors not sealed?,https://forum.openrov.com/t/why-are-the-motors-not-sealed/1039,3,400,"
             2014-06-09 01:12:14 UTC
           "
Clearance between thruster and nearest componenet,https://forum.openrov.com/t/clearance-between-thruster-and-nearest-componenet/1042,1,370,"
             2014-06-09 08:07:49 UTC
           "
Charging batteries,https://forum.openrov.com/t/charging-batteries/1028,1,491,"
             2014-05-29 14:27:09 UTC
           "
Freshwater Applications,https://forum.openrov.com/t/freshwater-applications/1036,3,470,"
             2014-06-08 17:33:25 UTC
           "
Air motor control,https://forum.openrov.com/t/air-motor-control/640,4,674,"
             2013-11-21 21:09:08 UTC
           "
Why do the endcaps need to be mirror images? Assembly guide 2.6,https://forum.openrov.com/t/why-do-the-endcaps-need-to-be-mirror-images-assembly-guide-2-6/1034,2,291,"
             2014-06-04 04:01:59 UTC
           "
Motor Wire,https://forum.openrov.com/t/motor-wire/1033,2,462,"
             2014-06-03 20:38:44 UTC
           "
Success at last,https://forum.openrov.com/t/success-at-last/1022,10,460,"
             2014-05-27 07:55:19 UTC
           "
Solder Iron,https://forum.openrov.com/t/solder-iron/996,4,350,"
             2014-05-15 21:28:44 UTC
           "
Connection problem,https://forum.openrov.com/t/connection-problem/1006,4,479,"
             2014-05-19 07:11:36 UTC
           "
OpenROV Interest Group in VA?,https://forum.openrov.com/t/openrov-interest-group-in-va/1031,0,423,"
             2014-06-02 16:24:19 UTC
           "
LED & board trouble,https://forum.openrov.com/t/led-board-trouble/1019,23,809,"
             2014-05-26 06:59:12 UTC
           "
Air Purge on Endcap Question,https://forum.openrov.com/t/air-purge-on-endcap-question/1008,2,364,"
             2014-05-19 23:27:21 UTC
           "
[solved] ? on Changing Servo tilt,https://forum.openrov.com/t/solved-on-changing-servo-tilt/1020,3,408,"
             2014-05-26 15:01:51 UTC
           "
Cockpit crashes when ESC is turned on,https://forum.openrov.com/t/cockpit-crashes-when-esc-is-turned-on/973,8,190,"
             2014-05-08 19:46:20 UTC
           "
Weights & ballasting,https://forum.openrov.com/t/weights-ballasting/1010,4,1.1k,"
             2014-05-20 12:59:38 UTC
           "
Software Version & query on Starboard Motor,https://forum.openrov.com/t/software-version-query-on-starboard-motor/1016,0,287,"
             2014-05-22 20:08:18 UTC
           "
Tether Problem,https://forum.openrov.com/t/tether-problem/1003,10,240,"
             2014-05-18 06:58:48 UTC
           "
Broadcom toaster,https://forum.openrov.com/t/broadcom-toaster/1007,1,414,"
             2014-05-19 15:22:24 UTC
           "
